"","SchoolNo","z_s10_ELA","z_s10_math","z_s09_ELA","z_s09_math","z_f08_ELA","z_f08_math","z_05_ELA","z_05_math","z_06_ELA","z_06_math","z_07_ELA","z_07_math","avg_teach_salary_08","Attendance_0809","Attendance_0708","LATCOD08","LONCOD08","FTE08","MEMBER08","PUPTCH08","ulocal08_dum12","urban08","suburb08","TITLEI08","STITLI08","CHARTR08","study","trt","male","white","sped","frpl","lep","county.pop"
"363","2205",20.6657695770264,17.5794448852539,19.4795513153076,17.4981880187988,22.0978660583496,19.4314556121826,21.3367252349854,19.134578704834,21.6110382080078,18.8336734771729,22.6444187164307,19.4846725463867,52317,97.65,97.18,38.2086,-87.5755,22.6,397,17.6,0,0,0,0,0,0,1,1,0.477031797170639,0.982332170009613,0.106007069349289,0.0777385160326958,0,20836
"364","2214",20.3440170288086,16.7068004608154,18.593412399292,16.0698432922363,21.6511631011963,17.9742889404297,20.0528659820557,17.7812957763672,20.693675994873,17.4330520629883,21.6686515808105,17.7394218444824,52317,96.78,96.39,38.2398,-87.572,25.1,441,17.6,0,0,0,1,0,0,1,0,0.467320263385773,0.980392158031464,0.241830065846443,0.261437922716141,0,20836
"365","2223",20.9372692108154,16.6229591369629,19.9947891235352,17.10302734375,20.1159362792969,18.4903926849365,19.6702556610107,18.6984195709229,19.8640327453613,17.8822860717773,20.5848960876465,18.0296764373779,47505,95.74,95.4,38.3493,-87.5905,24.6,440,17.9,0,0,0,1,1,0,0,0,0.557870388031006,0.872685194015503,0.226851850748062,0.497685194015503,0.00694444449618459,20836
"366","2225",18.5275573730469,17.3394241333008,17.0409622192383,16.7743320465088,22.2121829986572,19.1703643798828,21.1360569000244,17.642578125,21.2911014556885,17.599494934082,22.4667701721191,18.8439025878906,47505,95.49,95.53,38.3562,-87.5636,29.7,513,17.3,0,0,0,1,0,0,0,0,0.516765296459198,0.921104550361633,0.179487183690071,0.42011833190918,0.00591715984046459,33503
"367","2237",20.1352272033691,17.4895935058594,18.7907295227051,17.0410499572754,20.3574905395508,18.061803817749,20.2906761169434,19.1289939880371,20.4375610351562,18.4283390045166,21.3776741027832,19.1415519714355,42526,95.94,96.23,38.3298,-87.3508,17.8,266,14.9,0,0,0,1,0,0,0,0,0.45890411734581,0.986301362514496,0.219178080558777,0.397260278463364,0,33503
"368","2241",20.5097923278809,16.7695865631104,18.8967704772949,16.5763626098633,21.5179004669189,18.4319477081299,21.147834777832,18.4434490203857,21.1189041137695,17.8412132263184,22.0643863677979,18.2100448608398,52317,95.9,96.11,38.2805,-87.7632,23.6,491,20.8,0,0,0,1,0,0,1,0,0.4112149477005,0.971962630748749,0.161993771791458,0.323987543582916,0,33503
"369","2294",20.6250495910645,17.6913032531738,19.8952007293701,17.5244255065918,21.0034255981445,18.3862113952637,20.9009609222412,19.2426586151123,21.2527275085449,18.6482238769531,21.9160118103027,18.9267425537109,44719,96.1,96.09,40.3886,-85.5051,11,114,10.4,0,0,0,1,0,0,0,0,0.477611929178238,0.970149278640747,0.268656730651855,0.373134315013885,0,33503
"370","2295",20.5959968566895,17.0386581420898,19.2834892272949,17.1492195129395,20.7607345581055,18.4761734008789,20.9493007659912,19.6094627380371,21.5256881713867,18.958402633667,21.9072303771973,18.7107601165771,44719,96.34,96.08,40.469,-85.4967,20.5,352,17.2,0,0,0,1,0,0,0,0,0.528037369251251,0.943925261497498,0.233644858002663,0.345794379711151,0.00467289704829454,33503
"371","2299",18.991304397583,16.4288482666016,17.9418716430664,16.3754653930664,21.8977184295654,18.5260181427002,20.7267379760742,16.9954376220703,20.3368186950684,16.6413383483887,21.0174121856689,17.4929714202881,44719,97.21,96.16,40.545,-85.5035,16.2,293,18.1,0,0,0,1,0,0,0,0,0.480968862771988,0.95847749710083,0.159169554710388,0.370242208242416,0,33503
"372","2301",20.7416915893555,17.9233207702637,19.391845703125,17.2887077331543,21.3716011047363,18.9822235107422,21.1757621765137,19.6089477539062,21.5587787628174,19.1793746948242,22.1803340911865,18.8360557556152,40865,96.46,95.96,40.4282,-85.7289,8.2,142,17.3,0,0,0,0,0,0,0,0,0.523255825042725,0.953488349914551,0.139534890651703,0.290697664022446,0,33503
