"","SchoolNo","z_s09_ELA","z_s09_math","Attendance_0809","FTE08","MEMBER08","PUPTCH08","county.pop","TITLEI08","STITLI08","male","white","sped","frpl","lep","study","trt","N.EXPT","prob"
"1367",8353,-0.701665404477072,-2.56087896182823,-0.292882392403753,0.0896162521723907,-0.843284423727115,-2.40390677849022,-0.210054152022973,0.54307375891987,0.998349997916735,1.5574438579158,-1.47438796423909,2.3981439329821,2.02282909042686,-0.4679922050124,0,0,1,7.52099886387399e-07
"1368",8357,0.171603347431444,-1.55148036182933,0.593287346519109,0.661005633366493,0.656063942466305,0.0744585312921986,-0.210054152022973,0.54307375891987,0.998349997916735,-0.29163864808121,0.481477132972219,0.895888856435671,0.487669294382197,-0.517728010729678,0,0,1,0.00759233059428768
"1369",8361,0.430838281192993,-0.653467894562612,0.189463161693498,-0.152791364091774,0.0235263504784559,0.463915937115151,-0.210054152022973,0.54307375891987,0.998349997916735,-1.72811577720089,0.0731216904824322,0.580542154840797,1.26296067564198,-0.558738239841524,0,0,1,0.227028795141277
"1370",8365,0.315857016452505,-0.738624064206205,0.615722023453877,0.877441005030925,0.857538879173545,0.0744585312921986,-0.210054152022973,0.54307375891987,0.998349997916735,-0.250115333644185,0.0855335685048997,0.124795097576066,0.44674845587579,-0.344771840554835,0,0,1,0.215747177189544
"1371",8369,-2.0323911777645,-1.19537996211004,0.593287346519109,0.193505230571318,-0.0139573586763796,-0.492024968086639,-0.780967079942526,0.54307375891987,0.998349997916735,0.0539686478297571,-0.630358105487218,0.0467854215612663,1.04934036490199,-0.421744758458741,0,0,1,1.48271502881459e-05
"1372",8376,0.348803043494753,-0.979218840590644,1.25511031609442,-0.77612523448534,-0.918251842036786,-0.775266717776059,-0.780967079942526,0.54307375891987,0.998349997916735,-1.01136425819923,0.415749528777836,2.0064576300023,0.703606173677675,-0.466019460461852,0,0,1,0.103321085217685
"1373",8381,1.26091353204002,0.430735031931792,1.47945708544199,0.262764549503937,0.089122841499418,-0.385809311953107,-0.780967079942526,-1.84015427297776,-1.00099113547736,0.10564930853787,0.518339198456521,0.0686944878550821,-1.05239493283592,-0.558738239841524,0,0,1,0.0279001479936641
"1374",8394,-0.884389751489116,-0.700874764930901,-0.909836008109562,-0.239365512757547,-0.55278567777714,-0.987698030043123,-0.780967079942526,0.54307375891987,-1.00099113547736,-0.727261965783407,0.715080071084349,-1.56390264052002,-0.262990336287299,-0.558738239841524,0,0,1,0.0726538745749197
"1375",8403,-0.028761212903419,-0.135391785535963,-0.92105334657693,-0.0142727262265369,-0.351310741069899,-0.916887592620769,-0.811615921167454,0.54307375891987,0.998349997916735,0.587318867998158,0.830487573808068,0.448734347402348,-0.187239917823077,-0.558738239841524,1,0,1,0.490425079293821
"1376",8409,0.502596189578713,-1.43884732936288,-1.23513882366352,-0.282652587090433,-0.220117759027975,0.145268968714554,-0.811615921167454,0.54307375891987,0.998349997916735,-0.73279056362629,0.728119211465787,0.906029095315374,0.531986222929486,-0.558738239841524,0,0,1,0.00951142531834869
"1377",8431,0.259092152046612,-0.8931269596145,-0.135839653860458,-1.07047733994897,-0.983848333057748,0.0744585312921986,-0.184854398127465,0.54307375891987,0.998349997916735,-0.201015819941274,0.797948648181847,0.517297898771899,0.0971394045429893,-0.558738239841524,0,0,1,0.150639292000034
"1378",8434,-1.24988962601624,-0.354534950396062,-0.707923915696748,-0.0748746302925779,0.0469536687002281,0.322295062270441,-0.184854398127465,0.54307375891987,-1.00099113547736,0.924550756281553,0.834371922392446,0.375511907514085,0.0926977216041728,-0.558738239841524,0,0,1,0.0330601199556684
"1379",8435,0.393544754768055,-0.850649742757348,0.0660724385523393,-1.06181992508239,-1.04475936043436,-0.279593655819576,-0.184854398127465,0.54307375891987,-1.00099113547736,-0.198291111434067,0.852204930533479,0.485783764229648,-0.551714133496339,-0.558738239841524,0,0,1,0.147173675092514
"1380",8445,-0.843796504309709,1.04259581384182,-0.326534407805888,1.5354045348908,1.27923060716544,-0.244188437108398,-0.184854398127465,-1.84015427297776,-1.00099113547736,0.00873049452629404,0.469773258501583,0.0683200758436689,-0.801493836330761,-0.386759859118469,0,0,1,0.0266500706136593
"1381",8461,-1.81673359883586,-0.431400631788158,-0.640619884892477,0.158875571105009,-0.238859613605392,-0.987698030043123,-0.184854398127465,0.54307375891987,0.998349997916735,-0.29163864808121,0.799911176451621,1.43081290472584,0.518383013550697,-0.558738239841524,0,0,1,0.000935839178844725
"1382",8473,-2.37822636574425,-1.43437372781994,-1.11174810052236,0.695635292832802,-0.201375904450557,-1.76661284168903,-0.184854398127465,0.54307375891987,0.998349997916735,-0.468159354926355,0.113428188748259,2.76836792305845,1.79854739426118,-0.528489560572112,0,0,1,1.99744313677353e-07
"1383",8477,-1.34984230476103,-0.00779595625616126,-0.887401331174794,1.31896916322637,1.13866669783481,-0.137972780974865,-0.184854398127465,0.54307375891987,0.998349997916735,-0.136663266653679,0.692172512708281,0.979893273242591,-0.0725416351411837,-0.523245336257394,0,0,1,0.0254767697865536
"1384",8481,-1.90379163421857,-0.750536141617695,-1.01079205431595,0.609061144167029,0.159404796164735,-0.881482373909591,-0.184854398127465,0.54307375891987,0.998349997916735,0.778214225237885,-0.223434413509164,2.72459386944725,1.61131409996395,-0.430529911358542,0,0,1,0.000230520211823493
"1385",8485,-1.29061366781415,0.143855809552683,-0.595750531022973,1.5354045348908,1.17615040698965,-0.421214530664285,-0.184854398127465,0.54307375891987,0.998349997916735,-0.257151327258154,0.136398046039149,0.62261138921722,-0.038427517539741,-0.487653841919894,0,0,1,0.033159687615018
"1386",8497,1.17500990133321,0.641851682150228,0.873720808203562,-1.14839407374816,-1.05413028772306,0.0744585312921986,-0.184854398127465,0.54307375891987,0.998349997916735,-1.4740452189916,0.88057545151244,0.39129477395082,0.0332816291726917,-0.558738239841524,0,0,1,0.0269818562909561
"1387",8505,0.0354788482828901,-1.2140716544286,0.413809931041063,-0.265337757357279,-0.585583923287621,-1.0231032487543,-0.184854398127465,0.54307375891987,0.998349997916735,-1.36456329353867,-0.40048095734954,1.94107709930595,1.74633345234337,-0.400772913774889,0,0,1,0.0497306647400654
"1388",8509,-0.054806402141941,-0.754571933271082,-1.10053076205498,-0.0575598005594234,-0.59495485057633,-1.48337109199961,-0.184854398127465,0.54307375891987,0.998349997916735,0.958221108557086,0.424741263848381,2.58698293512002,2.13787312157152,-0.472864472219725,0,0,1,0.241548506917828
"1389",8510,1.20482965265842,0.160406740279117,0.559635331116974,-0.0921894600257328,-0.126408486140886,-0.102567562263689,-0.184854398127465,0.54307375891987,0.998349997916735,0.00824652946280605,0.215756967664515,0.777973186633939,0.556758400173463,-0.254090821879744,0,0,1,0.0495176571613595
"1390",8511,1.75132653222575,1.32390154463686,0.660591377323381,0.115588496772123,0.342137878294557,0.60553681195986,-0.184854398127465,-1.84015427297776,-1.00099113547736,0.502604261672918,0.169112623118351,-0.0313733451090226,-0.768557121496824,-0.171005158102366,0,0,1,6.5088445863089e-05
"1391",8517,0.286344348144528,-0.429278112274682,-0.696706577229364,0.453227676568638,0.107864696076836,-0.704456280353704,-0.184854398127465,0.54307375891987,0.998349997916735,1.00702905920952,-0.0627479695312604,1.27513114579797,1.77491774873648,-0.185545158200746,0,0,1,0.369979937654797
"1392",8521,1.32785620811403,1.22900625107766,0.671808715790765,-1.19168114808105,-1.12441224238838,-0.0671623435525106,-0.184854398127465,-1.84015427297776,-1.00099113547736,-1.60840990478005,0.88057545151244,1.69696202359406,-0.43771717625938,-0.558738239841524,0,0,1,0.00143208340496725
"1393",8525,1.23313957914898,0.682321197283386,0.806416777399291,0.332023868436555,0.309339632784076,0.00364809386984396,-0.184854398127465,-1.84015427297776,-1.00099113547736,-0.100633769695629,0.648372777095889,0.293562867448488,-0.777859209227739,-0.460313691164738,0,0,1,0.0184809759682919
"1394",8533,-0.0724224468938541,-1.32072986957905,-0.225578361599481,-0.429828639822248,-0.862026278304532,-1.51877631071078,-0.184854398127465,0.54307375891987,0.998349997916735,-0.0913925530095562,-0.45833528316437,3.10873540739377,2.28922828099346,-0.558738239841524,0,0,1,0.0293575484448667
"1395",8537,0.649799845918088,-0.481403242653553,-0.0461009461214354,-0.525060203354598,-0.749575150840026,-0.881482373909591,-0.184854398127465,0.54307375891987,0.998349997916735,-1.79651987287767,0.108765441087367,2.8833616753002,1.54732262980256,-0.267938428537156,0,0,1,0.212912718999331
"1396",8543,0.511909619420542,-0.459265943581708,-0.0909702999909549,-0.386541565489361,-0.412221768446507,-0.173377999686043,-0.184854398127465,0.54307375891987,-1.00099113547736,0.859045270931424,0.678106002496871,1.96832309249096,-0.151063426797667,-0.558738239841524,0,0,1,0.279740534502269
"1397",8549,1.16376582918862,0.172555964713972,0.357723238704176,0.929385494230389,0.712289506198558,-0.279593655819576,-0.184854398127465,0.54307375891987,-1.00099113547736,-0.366882635320263,0.50438604078327,1.89369997830514,-0.35386119132151,-0.48142590567748,0,0,1,0.059075946956778
"1398",8561,0.311820865128952,-0.678659132226742,-0.629402546425109,-0.317282246556742,-0.88076813288195,-1.8020180604002,-0.184854398127465,0.54307375891987,0.998349997916735,0.890767922829182,0.131906001902985,3.84378086076685,1.43160999006516,-0.558738239841524,0,0,1,0.246978862852753
"1399",8575,1.07496623502768,0.286583979671701,0.290419207899905,-0.42117122495567,-0.773002469061798,-1.23553456102137,-0.184854398127465,0.54307375891987,0.998349997916735,-0.541610303405776,0.247472513048282,0.952034063709256,0.925073951279507,-0.558738239841524,0,0,1,0.0776092323152878
"1400",8593,1.56609007553106,0.943380366813774,1.0083288698121,-0.152791364091774,-0.168577658940076,-0.0671623435525106,-0.184854398127465,-1.84015427297776,-1.00099113547736,-0.575091953707015,0.691910722322534,0.141460321405334,-1.38916719734613,-0.558738239841524,0,0,1,0.00124780545936719
"1401",8605,0.487266207288378,-0.489421172787609,0.0660724385523393,-0.109504289758887,-0.290399713693291,-0.527430186797817,-0.184854398127465,0.54307375891987,0.998349997916735,1.074041200323,-0.00614861824603835,1.3041320008204,0.596556902548376,-0.430786329540814,0,0,1,0.278117948604877
